Date,News Source,Title,Description,URL of Article,Duplicate
1/23/2021,"Business Standard","Reliance Industries Q3 Consolidated Pat At Rs 13,101 Cr, Up 12.5% Yoy","Topline takes a hit by 21% as Covid-19 impacts operations, sales","/article/companies/reliance-indreliance-industries-net-profit-rises-12-5-to-rs-13-101-crore-in-q3ustries-net-profit-rises-12-5-to-rs-13-101-crore-in-q3-121012201334_1.html",0
1/22/2021,"Business Standard","Reliance Retail Q3 Revenue Declines 9.7% To Rs 33,018 Crore; Profit Surges","Yearly numbers are not comparable, RIL said, since the petro retail business, which makes up 40 per cent of the company's retail revenues, has been de...","/article/companies/reliance-retail-q3-revenue-declines-9-7-to-rs-33-018-crore-profit-surges-121012201375_1.html",0
1/22/2021,"Press Trust of India","Reliance Jio Net Profit Rises 15.5% To Rs 3,489 Crore In December Quarter","Jio Platforms, which provides digital and telecom services, had posted a net profit of Rs 3,020 crore in the previous quarter","/article/companies/reliance-jio-net-profit-rises-15-5-to-rs-3-489-crore-in-december-quarter-121012201277_1.html",0
1/22/2021,"Business Standard","Reliance Retail Pre-Tax Profit Rises 11.8% At Rs 3,102 Crore In Q3","The retail arm of Reliance Industries had posted a pre-tax profit or EBITDA (earnings before interest, tax, depreciation and amortisation) of Rs 2,736...","/article/companies/reliance-retail-pre-tax-profit-rises-11-8-at-rs-3-102-crore-in-q3-121012201352_1.html",0
1/22/2021,"Business Standard","Sensex Ends At Day'S Low, Down 746 Pts ; Bajaj Auto Jumps 11%; Ril Down 2%","Shares of Reliance Industries ended 2.4 per cent lower on Friday ahead of the announcement of its December quarter results. The shares have surged aro...","/article/markets/market-live-markets-sgx-nifty-reliance-industries-ril-hdfc-life-bse-121012200157_1.html",0
1/22/2021,"Business Standard","Sbi, Itc, Titan: Over 50% Of Sensex Constituents Look Weak On Charts","Technical indicators show that Bharti Airtel, Sun Pharmaceutical Industries, and ONGC are not showing an optimistic view from a short-term perspective","/article/markets/sbi-itc-titan-over-50-of-sensex-constituents-look-weak-on-charts-121012200481_1.html",0
1/22/2021,"Business Standard","Stocks To Watch: Ril, Yes Bank, Vedanta, Hdfc Bank, Sbi Card, Biocon","SBI Cards and Payment Services reported nearly 52 per cent dip in its net profit to Rs 210 crore in the third quarter ended December 2020","/article/markets/stocks-to-watch-ril-yes-bank-vedanta-hdfc-bank-sbi-card-biocon-121012200170_1.html",0
1/21/2021,"Business Standard","Road To 50K: Sensex Jumps 10,000 Pts In 74 Sessions; These Are Top Gainers","During the 74 sessions, the market capitalisation of the listed firms on BSE soared by Rs 38.55 trillion to Rs 199 trillion","/article/markets/road-to-50k-sensex-jumps-10-000-pts-in-74-sessions-these-are-top-gainers-121012100559_1.html",0
1/21/2021,"Business Standard","Ril Hits Over 2-Month High On Sebi Nod To Future Group-Reliance Retail Deal","Sebi gave a go-ahead to Future Group's scheme of arrangement and sale of assets to Reliance","/article/markets/reliance-industries-gains-for-fourth-straight-day-hits-over-2-month-high-121012100307_1.html",0
1/21/2021,"Business Standard","Stocks To Watch: Ril, Axis Bank, Bajaj Auto, Bajaj Finance, Lauras Labs","Competition Commission of India approved the acquisition of stake in Max Life Insurance by Axis Bank, Axis Capital and Axis Securities","/article/markets/stocks-to-watch-ril-axis-bank-bajaj-auto-bajaj-finance-lauras-labs-121012100202_1.html",0
